,Rank,Robot,Weapon,R_MK2,W_MK2
1338,67,Mender,Gust,True,True
1339,67,Mender,,True,False
1340,68,Mender,Halo,True,True
1341,68,Mender,Storm,True,True
1342,68,Mender,Halo,True,True
1343,68,Mender,,True,False
1344,68,Mercury,Halo,True,False
1345,68,Mercury,Avenger,True,True
1346,68,Mercury,Halo,True,True
1347,68,Mercury,,True,False
1348,68,Hellburner,Halo,True,False
1349,68,Hellburner,Ember,True,True
1350,68,Hellburner,,True,False
1351,68,Hellburner,,True,False
1352,68,Ares,Storm,False,True
1353,68,Ares,Gust,False,True
1354,68,Ares,Gust,False,True
1355,68,Ares,Storm,False,True
1356,68,Falcon,Dragoon,False,True
1357,68,Falcon,Dragoon,False,True
1358,68,Falcon,Dragoon,False,True
1359,68,Falcon,,False,False
1360,69,Strider,Spark,True,False
1361,69,Strider,Spark,True,False
1362,69,Strider,Ember,True,True
1363,69,Strider,,True,False
1364,69,Ares,Scourge,False,True
1365,69,Ares,Halo,False,False
1366,69,Ares,Halo,False,False
1367,69,Ares,Scourge,False,True
1368,69,Spectre,Taran,True,True
1369,69,Spectre,Taran,True,True
1370,69,Spectre,Taran,True,True
1371,69,Spectre,Taran,True,True
1372,69,Ares,Scourge,False,True
1373,69,Ares,Halo,False,False
1374,69,Ares,Halo,False,False
1375,69,Ares,Scourge,False,True
1376,69,Mender,Halo,False,False
1377,69,Mender,Corona,False,False
1378,69,Mender,Halo,False,False
1379,69,Mender,,False,False
1380,70,Bulwark,Dragoon,False,True
1381,70,Bulwark,Dragoon,False,True
1382,70,Bulwark,,False,False
1383,70,Bulwark,,False,False
1384,70,Mercury,Halo,True,True
1385,70,Mercury,Avenger,True,True
1386,70,Mercury,Halo,True,False
1387,70,Mercury,,True,False
1388,70,Mender,Gust,True,True
1389,70,Mender,Corona,True,True
1390,70,Mender,Halo,True,False
1391,70,Mender,,True,False
1392,70,Hellburner,Halo,True,False
1393,70,Hellburner,Ember,True,True
1394,70,Hellburner,,True,False
1395,70,Hellburner,,True,False
1396,70,Ares,Taran,True,True
1397,70,Ares,Halo,True,False
1398,70,Ares,Halo,True,False
1399,70,Ares,Taran,True,True
1400,71,Fury,Trident,False,True
1401,71,Fury,Trident,False,True
1402,71,Fury,Trident,False,True
1403,71,Fury,,False,False
1404,71,Hellburner,Ecu,False,False
1405,71,Hellburner,Ember,False,False
1406,71,Hellburner,,False,False
1407,71,Hellburner,,False,False
1408,71,Mender,Halo,False,False
1409,71,Mender,Storm,False,False
1410,71,Mender,Gust,False,False
1411,71,Mender,,False,False
1412,71,Ares,Taran,False,False
1413,71,Ares,Halo,False,False
1414,71,Ares,Spark,False,False
1415,71,Ares,Scourge,False,False
1416,71,Falcon,Viper,False,False
1417,71,Falcon,Avenger,False,True
1418,71,Falcon,Glory,False,False
1419,71,Falcon,,False,False
1420,72,Hellburner,Halo,True,False
1421,72,Hellburner,Ember,True,True
1422,72,Hellburner,,True,False
1423,72,Hellburner,,True,False
1424,72,Mender,Halo,True,False
1425,72,Mender,Taran,True,True
1426,72,Mender,Gust,True,False
1427,72,Mender,,True,False
1428,72,Mender,Gust,True,True
1429,72,Mender,Storm,True,False
1430,72,Mender,Gust,True,True
1431,72,Mender,,True,False
1432,72,Falcon,Dragoon,True,False
1433,72,Falcon,Ember,True,True
1434,72,Falcon,Dragoon,True,True
1435,72,Falcon,,True,False
1436,72,Ares,Taran,False,True
1437,72,Ares,Halo,False,False
1438,72,Ares,Halo,False,False
1439,72,Ares,Taran,False,True
1440,73,Ares,Corona,False,False
1441,73,Ares,Halo,False,False
1442,73,Ares,Halo,False,False
1443,73,Ares,Corona,False,False
1444,73,Mender,Halo,True,False
1445,73,Mender,Corona,True,False
1446,73,Mender,Halo,True,False
1447,73,Mender,,True,False
1448,73,Mercury,Shredder,False,False
1449,73,Mercury,Avenger,False,False
1450,73,Mercury,Shredder,False,False
1451,73,Mercury,,False,False
1452,73,Falcon,Exodus,False,False
1453,73,Falcon,Viper,False,False
1454,73,Falcon,Exodus,False,False
1455,73,Falcon,,False,False
1456,73,Hellburner,Halo,False,False
1457,73,Hellburner,Ember,False,True
1458,73,Hellburner,,False,False
1459,73,Hellburner,,False,False
1460,74,Hellburner,Ecu,False,False
1461,74,Hellburner,Ancile,False,False
1462,74,Hellburner,,False,False
1463,74,Hellburner,,False,False
1464,74,Ares,Taran,False,False
1465,74,Ares,Halo,False,False
1466,74,Ares,Halo,False,False
1467,74,Ares,Taran,False,False
1468,74,Ares,Scourge,False,False
1469,74,Ares,Spark,False,False
1470,74,Ares,Spark,False,False
1471,74,Ares,Scourge,False,False
1472,74,Spectre,Tulumbas,True,True
1473,74,Spectre,Tulumbas,True,True
1474,74,Spectre,Tulumbas,True,True
1475,74,Spectre,Tulumbas,True,True
1476,74,Spectre,Orkan,False,False
1477,74,Spectre,Orkan,False,True
1478,74,Spectre,Orkan,False,True
1479,74,Spectre,Orkan,False,True
1480,75,Pursuer,Gust,True,True
1481,75,Pursuer,Gust,True,True
1482,75,Pursuer,Halo,True,False
1483,75,Pursuer,,True,False
1484,75,Strider,Halo,True,False
1485,75,Strider,Gust,True,True
1486,75,Strider,Exodus,True,True
1487,75,Strider,,True,False
1488,75,Ares,Corona,True,True
1489,75,Ares,Sting,True,False
1490,75,Ares,Halo,True,True
1491,75,Ares,Corona,True,True
1492,75,Spectre,Orkan,True,True
1493,75,Spectre,Orkan,True,True
1494,75,Spectre,Orkan,True,True
1495,75,Spectre,Orkan,True,True
1496,75,Spectre,Tulumbas,True,True
1497,75,Spectre,Tulumbas,True,True
1498,75,Spectre,Tulumbas,True,True
1499,75,Spectre,Tulumbas,True,True
1500,76,Ares,Taran,True,True
1501,76,Ares,Halo,True,True
1502,76,Ares,Halo,True,False
1503,76,Ares,Taran,True,True
1504,76,Ares,Orkan,True,True
1505,76,Ares,Halo,True,False
1506,76,Ares,Gust,True,True
1507,76,Ares,Orkan,True,True
1508,76,Invader,Storm,True,True
1509,76,Invader,Halo,True,False
1510,76,Invader,Halo,True,False
1511,76,Invader,,True,False
1512,76,Falcon,Viper,True,True
1513,76,Falcon,Avenger,True,True
1514,76,Falcon,Viper,True,False
1515,76,Falcon,,True,False
1516,76,Mercury,Halo,False,True
1517,76,Mercury,Avenger,False,True
1518,76,Mercury,Halo,False,True
1519,76,Mercury,,False,False
1520,77,Haechi,Orkan,True,True
1521,77,Haechi,Orkan,True,True
1522,77,Haechi,Orkan,True,True
1523,77,Haechi,,True,False
1524,77,Bulgasari,Tulumbas,True,True
1525,77,Bulgasari,Tulumbas,True,True
1526,77,Bulgasari,Tulumbas,True,True
1527,77,Bulgasari,,True,False
1528,77,Fury,Flux,False,True
1529,77,Fury,Flux,False,True
1530,77,Fury,Flux,False,True
1531,77,Fury,,False,False
1532,77,Strider,Shredder,True,False
1533,77,Strider,Shredder,True,False
1534,77,Strider,Exodus,True,False
1535,77,Strider,,True,False
1536,77,Mender,Gust,False,True
1537,77,Mender,Scourge,False,True
1538,77,Mender,Halo,False,False
1539,77,Mender,,False,False
1540,78,Spectre,Orkan,True,True
1541,78,Spectre,Orkan,True,True
1542,78,Spectre,Orkan,True,True
1543,78,Spectre,Orkan,True,True
1544,78,Falcon,Dragoon,True,True
1545,78,Falcon,Dragoon,True,True
1546,78,Falcon,Dragoon,True,True
1547,78,Falcon,,True,False
1548,78,Spectre,Tulumbas,True,True
1549,78,Spectre,Tulumbas,True,True
1550,78,Spectre,Tulumbas,True,True
1551,78,Spectre,Tulumbas,True,True
1552,78,Ares,Scourge,True,True
1553,78,Ares,Halo,True,True
1554,78,Ares,Halo,True,True
1555,78,Ares,Scourge,True,True
1556,78,Falcon,Exodus,True,True
1557,78,Falcon,Exodus,True,True
1558,78,Falcon,Exodus,True,True
1559,78,Falcon,,True,False
1560,79,Spectre,Orkan,False,True
1561,79,Spectre,Orkan,False,True
1562,79,Spectre,Orkan,False,True
1563,79,Spectre,Orkan,False,True
1564,79,Mender,Gust,False,True
1565,79,Mender,Storm,False,False
1566,79,Mender,Halo,False,False
1567,79,Mender,,False,False
1568,79,Spectre,Shocktrain,False,False
1569,79,Spectre,Shocktrain,False,True
1570,79,Spectre,Shocktrain,False,True
1571,79,Spectre,Shocktrain,False,True
1572,79,Hellburner,Ecu,False,False
1573,79,Hellburner,Ember,False,True
1574,79,Hellburner,,False,False
1575,79,Hellburner,,False,False
1576,79,Mercury,Gust,False,True
1577,79,Mercury,Avenger,False,False
1578,79,Mercury,Halo,False,False
1579,79,Mercury,,False,False
1580,80,Mercury,Halo,False,False
1581,80,Mercury,Avenger,False,True
1582,80,Mercury,Halo,False,False
1583,80,Mercury,,False,False
